round_number,block_number,sequence_number,block_type,winning_probability,aaron_mood,probability_aaron_show,reward_value,reaction_time,choice,status_of_play,outcome,accumulated_outcomes,age,gender,major,MCQ_Q1,MCQ_Q2,MCQ_Q3,MCQ_Q4,MCQ_Q5,MCQ_Q6,chance_guess,pre_game_strategy,wager,post_game_quiz_q1,post_game_quiz_q2,post_game_quiz_q3,post_game_quiz_q3_other,post_game_quiz_correct,odds_guess_one_reply,odds_guess_one_did_win,odds_guess_two_reply,odds_guess_two_did_win,odds_guess_three_reply,odds_guess_three_did_win,id,treatment,craver
2,7,1,S,0.8,1,1,1,531,1,1,0.3,2.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,7,1,S,0.8,1,1,1,450,1,1,-0.7,1.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,7,1,S,0.8,1,1,1,427,1,1,0.3,2.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,7,1,S,0.8,1,1,1,829,1,1,0.3,2.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,8,1,S,0.8,1,1,2,507,1,1,1.3,3.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,8,1,S,0.8,1,1,2,484,1,1,-0.7,3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,8,1,S,0.8,1,1,2,451,1,1,-0.7,2.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,8,1,S,0.8,1,1,2,411,1,1,1.3,3.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,8,1,S,0.8,1,1,2,563,1,1,1.3,4.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,9,1,S,0.8,0,0.5,1,578,1,1,0.3,5.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,9,1,S,0.8,0,0.5,1,379,1,1,0.3,5.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,9,1,S,0.8,0,0.5,1,379,1,0,0,5.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,9,1,S,0.8,0,0.5,1,403,1,1,0.3,5.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,9,1,S,0.8,0,0.5,1,555,1,1,0.3,6.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,10,1,S,0.8,1,1,1,1938,1,1,-0.7,5.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,10,1,S,0.8,1,1,1,1810,1,1,0.3,5.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,10,1,S,0.8,1,1,1,965,1,1,0.3,6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,10,1,S,0.8,1,1,1,477,1,1,0.3,6.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,10,1,S,0.8,1,1,1,675,1,1,0.3,6.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,11,1,S,0.8,1,1,2,611,1,1,1.3,7.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,11,1,S,0.8,1,1,2,586,1,1,1.3,9.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,11,1,S,0.8,1,1,2,531,1,1,-0.7,8.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,11,1,S,0.8,1,1,2,476,1,1,1.3,9.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,11,1,S,0.8,1,1,2,547,1,1,1.3,11.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,12,1,S,0.8,0,0.5,1,442,1,1,0.3,11.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,12,1,S,0.8,0,0.5,1,532,1,1,0.3,11.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,12,1,S,0.8,0,0.5,1,644,1,0,0,11.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,12,1,S,0.8,0,0.5,1,436,1,0,0,11.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,12,1,S,0.8,0,0.5,1,404,1,0,0,11.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,13,1,S,0.8,0,0.5,2,522,1,1,1.3,13,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,13,1,S,0.8,0,0.5,2,449,1,1,1.3,14.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,13,1,S,0.8,0,0.5,2,605,1,0,0,14.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,13,1,S,0.8,0,0.5,2,355,1,0,0,14.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,13,1,S,0.8,0,0.5,2,467,1,1,1.3,15.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,14,1,S,0.8,1,1,1,436,1,1,0.3,15.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,14,1,S,0.8,1,1,1,428,1,1,0.3,16.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,14,1,S,0.8,1,1,1,548,1,1,-0.7,15.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,14,1,S,0.8,1,1,1,369,1,1,0.3,15.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,14,1,S,0.8,1,1,1,467,1,1,0.3,16.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,15,1,S,0.8,1,1,2,428,1,1,1.3,17.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,15,1,S,0.8,1,1,2,459,1,1,1.3,18.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,15,1,S,0.8,1,1,2,404,1,1,1.3,20,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,15,1,S,0.8,1,1,2,772,1,1,-0.7,19.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,15,1,S,0.8,1,1,2,455,1,1,1.3,20.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,16,1,S,0.8,0,0.5,1,483,1,1,-0.7,19.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,16,1,S,0.8,0,0.5,1,627,1,1,0.3,20.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,16,1,S,0.8,0,0.5,1,404,1,0,0,20.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,16,1,S,0.8,0,0.5,1,412,1,0,0,20.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,16,1,S,0.8,0,0.5,1,397,1,1,0.3,20.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,17,1,S,0.8,0,0.5,2,404,1,1,1.3,21.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,17,1,S,0.8,0,0.5,2,491,1,0,0,21.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,17,1,S,0.8,0,0.5,2,397,1,0,0,21.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,17,1,S,0.8,0,0.5,2,387,1,0,0,21.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,17,1,S,0.8,0,0.5,2,388,1,0,0,21.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,18,1,S,0.8,1,1,1,492,1,1,0.3,22.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,18,1,S,0.8,1,1,1,404,1,1,0.3,22.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,18,1,S,0.8,1,1,1,405,1,1,0.3,22.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,18,1,S,0.8,1,1,1,475,1,1,0.3,23,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,18,1,S,0.8,1,1,1,699,1,1,-0.7,22.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,19,1,S,0.8,1,1,2,451,1,1,-0.7,21.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,19,1,S,0.8,1,1,2,508,1,1,1.3,22.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,19,1,S,0.8,1,1,2,427,1,1,1.3,24.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,19,1,S,0.8,1,1,2,422,1,1,1.3,25.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,19,1,S,0.8,1,1,2,484,1,1,1.3,26.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,20,1,S,0.8,0,0.5,1,691,1,0,0,26.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,20,1,S,0.8,0,0.5,1,404,1,0,0,26.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,20,1,S,0.8,0,0.5,1,517,1,1,0.3,27.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,20,1,S,0.8,0,0.5,1,576,1,0,0,27.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,20,1,S,0.8,0,0.5,1,444,1,0,0,27.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,21,1,S,0.8,0,0.5,2,468,1,1,-0.7,26.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,21,1,S,0.8,0,0.5,2,404,1,1,1.3,27.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,21,1,S,0.8,0,0.5,2,428,1,0,0,27.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,21,1,S,0.8,0,0.5,2,444,1,0,0,27.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,21,1,S,0.8,0,0.5,2,428,1,1,1.3,29,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,1,2,S,0.8,1,1,2,790,1,1,1.3,30.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,1,2,S,0.8,1,1,2,420,1,1,1.3,31.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,1,2,S,0.8,1,1,2,529,1,1,1.3,32.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,1,2,S,0.8,1,1,2,396,1,1,1.3,34.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,1,2,S,0.8,1,1,2,468,1,1,1.3,35.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,2,2,C,0.2,1,1,2,443,1,1,-0.7,34.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,2,2,C,0.2,1,1,2,502,0,0,0,34.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,2,2,C,0.2,1,1,2,357,0,0,0,34.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,2,2,C,0.2,1,1,2,267,0,0,0,34.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,2,2,C,0.2,1,1,2,324,0,0,0,34.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,3,2,C,0.2,0,0.5,2,491,1,1,-0.7,34.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,3,2,C,0.2,0,0.5,2,540,0,0,0,34.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,3,2,C,0.2,0,0.5,2,388,0,0,0,34.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,3,2,C,0.2,0,0.5,2,270,0,0,0,34.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,3,2,C,0.2,0,0.5,2,381,0,0,0,34.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,4,2,S,0.8,1,1,2,436,1,1,1.3,35.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,4,2,S,0.8,1,1,2,404,1,1,-0.7,34.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,4,2,S,0.8,1,1,2,379,1,1,1.3,36,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,4,2,S,0.8,1,1,2,395,1,1,1.3,37.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,4,2,S,0.8,1,1,2,412,1,1,-0.7,36.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,5,2,C,0.2,0,0.5,1,1036,1,1,-0.7,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,5,2,C,0.2,0,0.5,1,1142,0,0,0,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,5,2,C,0.2,0,0.5,1,524,0,0,0,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,5,2,C,0.2,0,0.5,1,268,0,0,0,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,5,2,C,0.2,0,0.5,1,373,0,0,0,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,6,2,C,0.2,1,1,1,731,1,1,0.3,36.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,6,2,C,0.2,1,1,1,1204,0,0,0,36.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,6,2,C,0.2,1,1,1,301,0,0,0,36.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,6,2,C,0.2,1,1,1,141,0,0,0,36.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,6,2,C,0.2,1,1,1,93,0,0,0,36.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,7,2,S,0.8,1,1,1,867,1,1,0.3,36.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,7,2,S,0.8,1,1,1,451,1,1,0.3,36.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,7,2,S,0.8,1,1,1,401,1,1,0.3,37.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,7,2,S,0.8,1,1,1,452,1,1,0.3,37.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,7,2,S,0.8,1,1,1,509,1,1,0.3,37.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,8,2,S,0.8,0,0.5,1,429,1,1,0.3,38,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,8,2,S,0.8,0,0.5,1,528,1,0,0,38,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,8,2,S,0.8,0,0.5,1,317,1,1,-0.7,37.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,8,2,S,0.8,0,0.5,1,860,1,0,0,37.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,8,2,S,0.8,0,0.5,1,411,1,1,-0.7,36.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,9,2,S,0.8,0,0.5,2,460,1,1,-0.7,35.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,9,2,S,0.8,0,0.5,2,379,1,1,1.3,37.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,9,2,S,0.8,0,0.5,2,396,1,1,1.3,38.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,9,2,S,0.8,0,0.5,2,404,1,0,0,38.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,9,2,S,0.8,0,0.5,2,428,1,1,1.3,39.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,10,2,S,0.8,1,1,1,573,1,1,0.3,40.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,10,2,S,0.8,1,1,1,622,1,1,0.3,40.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,10,2,S,0.8,1,1,1,516,1,1,0.3,40.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,10,2,S,0.8,1,1,1,547,1,1,0.3,41,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,10,2,S,0.8,1,1,1,540,1,1,0.3,41.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,11,2,S,0.8,1,1,2,429,1,1,1.3,42.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,11,2,S,0.8,1,1,2,412,1,1,1.3,43.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,11,2,S,0.8,1,1,2,557,1,1,1.3,45.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,11,2,S,0.8,1,1,2,613,1,1,1.3,46.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,11,2,S,0.8,1,1,2,708,1,1,1.3,47.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,12,2,S,0.8,0,0.5,1,589,1,1,0.3,48.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
